太,0.20009807
处,0.19627183
且,0.19556326
进,0.1948547
弟,0.19386271
兄,0.19301244
心,0.1925873
明,0.19060333
住,0.18054174
林,0.1767155
用,0.17657379
无,0.17487324
寨,0.17430639
边,0.17416468
为,0.16934645
汉,0.16367795
已,0.16367795
松,0.16268596
金,0.16141055
师,0.16041856
可,0.15985171
安,0.15956829
取,0.15914315
逵,0.1585763
生,0.15375807
义,0.15361636
使,0.15262437
高,0.15163239
老,0.15149067
问,0.1506404
刀,0.1506404
青,0.14993184
儿,0.14851471
水,0.14808957
吃,0.1461056
方,0.14440505
船,0.14440505
开,0.14327135
多,0.14312964
请,0.14298792
早,0.14029539
后,0.13987025
再,0.13901997
望,0.13859484
被,0.13717771
报,0.13689429
石,0.13646915
府,0.1359023
阵,0.1359023
火,0.13448517
坐,0.13434346
话,0.13406004
胜,0.13320976
内,0.13207606
东,0.13165092
吴,0.13122578
直,0.13108407
若,0.13094236
著,0.13037551
庄,0.12966695
些,0.12952523
清,0.12938352
书,0.12924181
口,0.12895838
放,0.12853325
杨,0.12853325
引,0.12810811
各,0.1279664
死,0.12725783
声,0.12654927
们,0.125699
解,0.12513215
从,0.12428187
百,0.12088077
俊,0.1200305
孙,0.11946365
深,0.11918022
贼,0.11918022
文,0.11903851
冲,0.11903851
敢,0.1188968
花,0.11861337
就,0.11861337
定,0.11563741
关,0.11393686
长,0.1132283
令,0.1120946
外,0.1120946
甚,0.11195288
同,0.11181117
梁,0.10996891
後,0.10926035
士,0.10883521
带,0.10826836
待,0.10741808
因,0.10699295
尉,0.1064261
员,0.10585925
县,0.10500897
夜,0.10359185
戴,0.10316671
主,0.103025
并,0.10288328
卢,0.10203301
名,0.10174958
智,0.10174958
赶,0.10146616
间,0.10104102
客,0.10089931
曾,0.1007576
娘,0.10061588
管,0.10047417
应,0.09948218
拜,0.09934047
战,0.09863191
朱,0.09820677
发,0.09792334
数,0.09749821
宗,0.09721478
西,0.09650622
风,0.09565594
随,0.09508909
庆,0.09480567
京,0.09423882
飞,0.09423882
对,0.09338854
次,0.09310512
本,0.09282169
婆,0.09267998
白,0.09239656
然,0.09225484
立,0.09225484
差,0.09211313
休,0.09097943
黄,0.09027087
万,0.09027087
燕,0.09027087
送,0.08998744
连,0.08927888
没,0.08871203
银,0.08857032
旗,0.08814518
守,0.08800347
泊,0.08786176
尽,0.08715319
收,0.08715319
拿,0.08715319
命,0.08686977
寻,0.08672806
必,0.08658634
厮,0.08587778
条,0.08587778
罢,0.08531093
保,0.08474408
急,0.08389381
以,0.08389381
喝,0.08375209
七,0.08318524
原,0.08290182
齐,0.08261839
柴,0.08205154
虎,0.08190983
半,0.08176812
救,0.08162641
接,0.08162641
气,0.08105956
笑,0.08105956
倒,0.08077613
怎,0.08020928
盖,0.07992586
神,0.07978414
几,0.07907558
店,0.07879216
奔,0.07879216
作,0.07865044
投,0.07822531
钱,0.07822531
唤,0.07737503
喜,0.07737503
计,0.07723332
妇,0.07723332
言,0.07694989
千,0.07666647
点,0.07638304
还,0.07567448
八,0.07524934
提,0.07496592
锋,0.07496592
亲,0.07454078
房,0.07383222
衣,0.07354879
平,0.07354879
第,0.07354879
朝,0.07312366
龙,0.07241509
未,0.07227338
枪,0.07198996
顺,0.07184824
南,0.07156482
晁,0.07142311
步,0.07128139
动,0.07113968
箭,0.07085626
至,0.07057283
北,0.07057283
左,0.07014769
迎,0.06943913
宝,0.06943913
捉,0.06943913
国,0.06887228
首,0.06873057
会,0.06858886
余,0.06844714
般,0.06802201
秀,0.06773858
合,0.06773858
恩,0.06688831
姓,0.06688831
右,0.06674659
位,0.06632145
忙,0.06603803
鲁,0.06603803
向,0.06561289
横,0.06490433
呼,0.06476262
星,0.06447919
六,0.06419577
罗,0.06419577
更,0.06405405
备,0.06306207
晚,0.06306207
其,0.06277864
云,0.0623535
惊,0.0623535
成,0.06221179
荣,0.06192837
雄,0.06178665
顾,0.06150323
闻,0.06079467
近,0.06079467
背,0.06051124
史,0.0600861
招,0.0600861
信,0.05994439
别,0.05994439
即,0.05980268
眼,0.05980268
么,0.05951925
脚,0.05937754
意,0.05881069
童,0.05881069
村,0.05852727
者,0.05796042
转,0.0578187
法,0.0578187
交,0.05753528
快,0.05753528
肯,0.05753528
议,0.05739357
女,0.05739357
真,0.05711014
月,0.05682672
俺,0.056685
想,0.056685
而,0.05654329
延,0.05654329
拨,0.05625987
双,0.05597644
礼,0.05583473
厅,0.05583473
英,0.05583473
司,0.05569302
须,0.05569302
奏,0.05526788
草,0.05526788
重,0.05526788
黑,0.05498445
叔,0.05484274
堂,0.05470103
志,0.05470103
商,0.05470103
歇,0.05455932
能,0.0544176
往,0.05413418
慌,0.05399247
远,0.05385075
性,0.05370904
全,0.0532839
年,0.05300048
似,0.05300048
刘,0.05300048
谁,0.05257534
阮,0.05243363
忠,0.05229192
离,0.05200849
落,0.05129993
九,0.05129993
敌,0.0510165
思,0.05087479
字,0.05087479
留,0.05073308
候,0.05030794
队,0.05030794
唐,0.05016623
力,0.0498828
排,0.0498828
尚,0.04959938
铁,0.04959938
干,0.04903253
肉,0.04903253
难,0.04889082
才,0.04889082
甲,0.04889082
骑,0.04889082
楼,0.0487491
红,0.04860739
指,0.04860739
少,0.04860739
父,0.04832397
既,0.04818225
许,0.04804054
号,0.04789883
怕,0.04789883
但,0.04775712
答,0.04775712
谢,0.04775712
秦,0.04719027
告,0.04662342
细,0.04662342
贯,0.04662342
灼,0.04662342
密,0.0464817
棒,0.04633999
监,0.04619828
破,0.04619828
卖,0.04591485
牢,0.04591485
伏,0.04577314
统,0.04577314
受,0.04563143
传,0.045348
包,0.04520629
写,0.04492287
散,0.04463944
郎,0.04463944
索,0.04463944
买,0.04463944
罪,0.04449773
乱,0.04449773
节,0.04449773
退,0.04435602
色,0.04435602
目,0.04407259
物,0.04407259
夫,0.04407259
功,0.04407259
赏,0.04407259
玉,0.04364745
营,0.04364745
陈,0.04364745
亦,0.04350574
雷,0.04350574
归,0.04350574
饭,0.04350574
押,0.04350574
新,0.04322232
翻,0.04322232
情,0.04322232
廷,0.04293889
穿,0.04293889
降,0.04265547
虽,0.04265547
蔡,0.04265547
施,0.04251375
鼓,0.04223033
车,0.04223033
嫂,0.04223033
响,0.04208862
势,0.0419469
于,0.04180519
害,0.04180519
非,0.04166348
所,0.04166348
宿,0.04138005
苦,0.04123834
仝,0.04123834
及,0.04109663
怒,0.04109663
撞,0.04109663
依,0.04095492
抢,0.04067149
迁,0.04067149
学,0.04038807
付,0.04038807
皆,0.04010464
